timestamp,player_uid,matches,wins
2025-02-03T12:27:59.780109,1454131493,251,129
2025-02-03T12:27:59.780109,689211075,150,73
2025-02-03T12:27:59.780109,623352749,149,77
2025-02-03T12:27:59.780109,1995862724,39,14
2025-02-03T12:27:59.780109,293035056,23,10
2025-02-03T12:27:59.780109,1906889458,19,12
2025-02-03T12:27:59.780109,817813571,5,5
2025-02-03T12:27:59.780109,194289566,2,1
2025-02-03T12:27:59.780109,2042361994,2,0
2025-02-03T12:27:59.780109,1243120382,2,0
