timestamp,rank,division,population_count
2025-02-03T23:50:33.977410,celestial,2,888
2025-02-03T23:50:33.977410,celestial,3,2439
2025-02-03T23:50:33.977410,eternity,total,69
2025-02-03T23:50:33.977410,one_above_all,total,190
2025-02-04T23:50:42.468683,bronze,1,185121
2025-02-04T23:50:42.468683,bronze,2,207012
2025-02-04T23:50:42.468683,bronze,3,745913
2025-02-04T23:50:42.468683,silver,1,162001
2025-02-04T23:50:42.468683,silver,2,181291
2025-02-04T23:50:42.468683,silver,3,206651
2025-02-04T23:50:42.468683,gold,1,118199
2025-02-04T23:50:42.468683,gold,2,141516
2025-02-04T23:50:42.468683,gold,3,199368
2025-02-04T23:50:42.468683,platinum,1,46277
2025-02-04T23:50:42.468683,platinum,2,76049
2025-02-04T23:50:42.468683,platinum,3,131882
2025-02-04T23:50:42.468683,diamond,1,10707
2025-02-04T23:50:42.468683,diamond,2,19036
2025-02-04T23:50:42.468683,diamond,3,40869
2025-02-04T23:50:42.468683,grandmaster,1,2850
2025-02-04T23:50:42.468683,grandmaster,2,4879
2025-02-04T23:50:42.468683,grandmaster,3,11978
2025-02-04T23:50:42.468683,celestial,1,490
2025-02-04T23:50:42.468683,celestial,2,1008
2025-02-04T23:50:42.468683,celestial,3,2507
2025-02-04T23:50:42.468683,eternity,total,17
2025-02-04T23:50:42.468683,one_above_all,total,330
2025-02-05T12:22:29.906850,bronze,1,192201
2025-02-05T12:22:29.906850,bronze,2,216416
2025-02-05T12:22:29.906850,bronze,3,784832
2025-02-05T12:22:29.906850,silver,1,166970
2025-02-05T12:22:29.906850,silver,2,187452
2025-02-05T12:22:29.906850,silver,3,213991
2025-02-05T12:22:29.906850,gold,1,122064
2025-02-05T12:22:29.906850,gold,2,146029
2025-02-05T12:22:29.906850,gold,3,205852
2025-02-05T12:22:29.906850,platinum,1,48380
2025-02-05T12:22:29.906850,platinum,2,79021
2025-02-05T12:22:29.906850,platinum,3,136617
2025-02-05T12:22:29.906850,diamond,1,11514
2025-02-05T12:22:29.906850,diamond,2,20313
2025-02-05T12:22:29.906850,diamond,3,43071
2025-02-05T12:22:29.906850,grandmaster,1,3104
2025-02-05T12:22:29.906850,grandmaster,2,5348
2025-02-05T12:22:29.906850,grandmaster,3,12964
2025-02-05T12:22:29.906850,celestial,1,573
2025-02-05T12:22:29.906850,celestial,2,1211
2025-02-05T12:22:29.906850,celestial,3,2883
2025-02-05T12:22:29.906850,eternity,total,39
2025-02-05T12:22:29.906850,one_above_all,total,401
2025-02-05T18:16:13.816594,bronze,1,193614
2025-02-05T18:16:13.816594,bronze,2,218224
2025-02-05T18:16:13.816594,bronze,3,791525
2025-02-05T18:16:13.816594,silver,1,168173
2025-02-05T18:16:13.816594,silver,2,188822
2025-02-05T18:16:13.816594,silver,3,215584
2025-02-05T18:16:13.816594,gold,1,123204
2025-02-05T18:16:13.816594,gold,2,147179
2025-02-05T18:16:13.816594,gold,3,207524
2025-02-05T18:16:13.816594,platinum,1,49024
2025-02-05T18:16:13.816594,platinum,2,79944
2025-02-05T18:16:13.816594,platinum,3,137982
2025-02-05T18:16:13.816594,diamond,1,11723
2025-02-05T18:16:13.816594,diamond,2,20706
2025-02-05T18:16:13.816594,diamond,3,43744
2025-02-05T18:16:13.816594,grandmaster,1,3187
2025-02-05T18:16:13.816594,grandmaster,2,5472
2025-02-05T18:16:13.816594,grandmaster,3,13213
2025-02-05T18:16:13.816594,celestial,1,573
2025-02-05T18:16:13.816594,celestial,2,1276
2025-02-05T18:16:13.816594,celestial,3,2990
2025-02-05T18:16:13.816594,eternity,total,79
2025-02-05T18:16:13.816594,one_above_all,total,413
2025-02-06T00:56:22.826781,bronze,1,196065
2025-02-06T00:56:22.826781,bronze,2,221519
2025-02-06T00:56:22.826781,bronze,3,805134
2025-02-06T00:56:22.826781,silver,1,169826
2025-02-06T00:56:22.826781,silver,2,190931
2025-02-06T00:56:22.826781,silver,3,218143
2025-02-06T00:56:22.826781,gold,1,124388
2025-02-06T00:56:22.826781,gold,2,148624
2025-02-06T00:56:22.826781,gold,3,209714
2025-02-06T00:56:22.826781,platinum,1,49664
2025-02-06T00:56:22.826781,platinum,2,80851
2025-02-06T00:56:22.826781,platinum,3,139513
2025-02-06T00:56:22.826781,diamond,1,12056
2025-02-06T00:56:22.826781,diamond,2,21260
2025-02-06T00:56:22.826781,diamond,3,44556
2025-02-06T00:56:22.826781,grandmaster,1,3289
2025-02-06T00:56:22.826781,grandmaster,2,5609
2025-02-06T00:56:22.826781,grandmaster,3,13680
2025-02-06T00:56:22.826781,celestial,1,574
2025-02-06T00:56:22.826781,celestial,2,1317
2025-02-06T00:56:22.826781,celestial,3,3105
2025-02-06T00:56:22.826781,eternity,total,117
2025-02-06T00:56:22.826781,one_above_all,total,396
2025-02-06T06:17:14.408960,bronze,1,196065
2025-02-06T06:17:14.408960,bronze,2,221519
