player_uid,player_name,highest_score,latest_score,matches,wins
323784310,Zenoe,4873,4873,297,161
1294340283,xBrooklynx,4402,4402,313,171
1609189410,top1gunzplayer,4875,4875,144,88
463968516,Monotone,4814,4814,373,197
1710704701,cartiersky,4965,4965,189,111
45857569,NeverSeenWoman,4179,4179,54,46
1362363671,Reis,4562,4562,68,43
250555781,Snottyfinger,4901,4901,127,77
691388641,SuperCamarón,4755,4755,65,45
355794496,Victinii,4554,4554,48,31
974541510,AdaLynx,4962,4962,610,336
1585337109,Unknown,NaN,NaN,0,0
413308174,Glac1al,4809,4809,86,60
49633888,wmwmwmwmwmwmww,4572,4572,71,53
1396027478,Unknown,NaN,NaN,0,0
890592836,Enz,4367,4367,42,23
290694343,Unknown,NaN,NaN,0,0
1508464776,Unknown,NaN,NaN,0,0
815106055,Unknown,NaN,NaN,0,0
602369611,Unknown,NaN,NaN,0,0
1761381937,Unknown,NaN,NaN,0,0
1963696188,Unknown,NaN,NaN,0,0
428309911,Unknown,NaN,NaN,0,0
241212336,ergnedstrgfw,4705,4705,67,43
117237400,Nanahyatzin,4666,4666,73,45
501039510,GAEBOIJARVY,4173,4173,54,24
106439618,showboat1,4863,4863,161,98
148987251,Orangeshadow9,4725,4725,164,89
1622349138,WHOBRYSON,4964,4964,288,160
15287359,Unknown,NaN,NaN,0,0
2080237961,Twitch Tav10k,4764,4764,392,199
2013823807,Pelga,4335,4335,476,234
1466092501,Unknown,NaN,NaN,0,0
2067811829,NuttyNinja55,4907,4907,82,54
336933475,StoneyCannon,3087,3087,104,39
1633337364,ILikeMen13,4952,4952,264,148
1156265651,Sonic_OW,4739,4739,491,252
530196218,Fortnite233,,,167,87
1080901768,Unknown,NaN,NaN,0,0
318232014,Unknown,NaN,NaN,0,0
1569146897,Shlab123,3446,3446,135,77
267084068,SodaGoblin,3729,3729,145,84
1688308597,Unknown,NaN,NaN,0,0
311465310,Malakhite,,,95,49
1257386590,SkibidiUnc1738,4081,4081,329,176
786926465,ilovedrpepper6,4141,4141,202,122
1098706905,seta_aki,4988,4988,272,153
436241919,Gingyboyy,4779,4779,315,171
950119551,firework,4707,4707,343,177
36222032,Unknown,NaN,NaN,0,0
238024003,Haunges,3650,3650,28,14
622725719,SlickFawn,3650,3650,26,15
1296620809,步步阿萨,4796,4796,195,134
1941856918,Akizuki,3966,3966,95,54
756194065,ㅇ ㅅ ㅇ,4662,4662,101,65
499822288,CelineYY,4984,4984,130,83
290245124,Jаse,3101,3101,382,195
352295028,sswxf222,4820,4820,90,69
1205893372,sdsddaee2,4896,4896,45,38
490308249,Unknown,NaN,NaN,0,0
1118656306,q'weqweqw,5044,5044,98,68
710329137,zExalt,4880,4880,311,171
1149744177,Wubz311,3344,3344,571,301
3157973,wwwssa21231,4849,4849,126,86
874552452,bajo,4753,4753,582,270
1223591075,Korex,4986,4986,751,402
1565953602,Unknown,NaN,NaN,0,0
1444033296,Unknown,NaN,NaN,0,0
1373438750,Unknown,NaN,NaN,0,0
1221058723,SUPPRESSTTV,4911,4911,220,121
1973238290,FlyPie,5007,5007,114,75
938547051,Kenshow,3824,3824,58,38
857832861,lolicakey,4205,4205,90,62
985934255,Daithiensu,5005,5005,244,159
1677166286,Unknown,NaN,NaN,0,0
584955295,Unknown,NaN,NaN,0,0
744659557,mаgs,4549,4549,216,114
2015990733,Unknown,NaN,NaN,0,0
435860216,Unknown,NaN,NaN,0,0
1589998721,Youtube_DDobi,4887,4887,336,189
815396308,FUNFUN,5003,5003,295,176
1972150898,Unknown,NaN,NaN,0,0
820770669,NLE CHOPPA2,4949,4949,198,114
1932234672,Unknown,NaN,NaN,0,0
